New York,NY,8175133,1840008329
Los Angeles,CA,3792621,1840020491
Chicago,IL,2695598,1840000494
Brooklyn,NY,2565635,1840038127
Queens,NY,2272771,1840038128
Houston,TX,2099451,1840020925
Manhattan,NY,1619090,1840038126
Philadelphia,PA,1526006,1840000673
Phoenix,AZ,1445632,1840020568
The Bronx,NY,1408473,1840038125
San Antonio,TX,1327407,1840022220
San Diego,CA,1307402,1840021990
Dallas,TX,1197816,1840019440
San Jose,CA,945942,1840021570
Jacksonville,FL,821784,1840015031
Indianapolis,IN,820445,1840037394
San Francisco,CA,805235,1840021543
Austin,TX,790390,1840019590
Columbus,OH,787033,1840003760
Fort Worth,TX,741206,1840020696
Charlotte,NC,731424,1840014557
Detroit,MI,713777,1840003971
El Paso,TX,649121,1840020804
Memphis,TN,646889,1840015457
Baltimore,MD,620961,1840001592
Boston,MA,617594,1840000455
Seattle,WA,608660,1840021117
Washington,DC,601723,1840006060
Nashville,TN,601222,1840038081
Denver,CO,600158,1840018789
Louisville,KY,597337,1840037561
Milwaukee,WI,594833,1840003046
Portland,OR,583776,1840019941
Las Vegas,NV,583756,1840020364
Oklahoma City,OK,579999,1840020428
Albuquerque,NM,545852,1840019176
Tucson,AZ,520116,1840022101
Fresno,CA,494665,1840020319
Staten Island,NY,470728,1840038129
Sacramento,CA,466488,1840021491
Long Beach,CA,462257,1840020490
Kansas City,MO,459787,1840008535
Mesa,AZ,439041,1840020566
Virginia Beach,VA,437994,1840003871
Atlanta,GA,420003,1840013660
Colorado Springs,CO,416427,1840018825
Omaha,NE,408958,1840009315
Raleigh,NC,403892,1840014497
Miami,FL,399457,1840015149
Cleveland,OH,396815,1840000596
Tulsa,OK,391906,1840021672
Oakland,CA,390724,1840020296
Minneapolis,MN,382578,1840007830
Wichita,KS,382368,1840001686
San Juan,PR,381931,1630023655
Arlington,TX,365438,1840019422
Bakersfield,CA,347483,1840019148
New Orleans,LA,343829,1840001839
Anaheim,CA,336265,1840019322
Tampa,FL,335709,1840015982
Aurora,CO,325078,1840018794
Santa Ana,CA,324528,1840021964
Saint Louis,MO,319294,1840001651
Pittsburgh,PA,305704,1840001254
Corpus Christi,TX,305215,1840019718
Riverside,CA,303871,1840020551
Cincinnati,OH,296943,1840003814
Lexington,KY,295803,1840015211
Anchorage,AK,291826,1840023385
Stockton,CA,291707,1840021517
Toledo,OH,287208,1840000572
Saint Paul,MN,285068,1840008940
Newark,NJ,277140,1840002791
Greensboro,NC,269666,1840013356
Buffalo,NY,261310,1840000386
Plano,TX,259841,1840020662
Lincoln,NE,258379,1840009357
Henderson,NV,257729,1840020361
Fort Wayne,IN,253691,1840008261
Jersey City,NJ,247597,1840003600
Saint Petersburg,FL,244769,1840015977
Chula Vista,CA,243916,1840019350
Norfolk,VA,242803,1840003869
Orlando,FL,238300,1840015099
Chandler,AZ,236123,1840019309
Laredo,TX,236091,1840021002
Madison,WI,233209,1840002915
Winston-Salem,NC,229617,1840015324
Lubbock,TX,229573,1840020604
Baton Rouge,LA,229493,1840013941
Durham,NC,228330,1840013364
Garland,TX,226876,1840020707
Glendale,AZ,226721,1840020563
Reno,NV,225221,1840020121
Hialeah,FL,224669,1840015157
Chesapeake,VA,222209,1840003874
Scottsdale,AZ,217385,1840021940
North Las Vegas,NV,216961,1840020363
Irving,TX,216290,1840019438
Fremont,CA,214089,1840020292
